Contract,Reentrancy,Integer,Access,TOD,DoS,Delegatecall,Unchecked Call,Timestamp,Frozen Ether
,-,-,-,-,-,-,-,-,-
batch03_contract_004_obf.sol,-,-,-,-,-,-,-,-,-
batch03_contract_006_obf.sol,-,-,-,-,-,-,-,-,-
batch03_contract_007_obf.sol,-,-,-,-,-,-,-,-,-
batch03_contract_015_obf.sol,-,-,-,-,-,-,-,-,-
batch03_contract_016_obf.sol,-,-,-,-,-,-,-,-,-
batch03_contract_017_obf.sol,-,-,-,-,-,-,-,-,-
batch03_contract_018_obf.sol,-,-,-,-,-,-,-,-,-
batch03_contract_022_obf.sol,-,-,-,-,-,-,-,-,-
batch03_contract_025_obf.sol,-,-,-,-,-,-,-,-,-
batch03_contract_026_obf.sol,-,-,-,-,-,-,-,-,-
batch03_contract_027_obf.sol,-,-,-,-,-,-,-,-,-
batch03_contract_028_obf.sol,-,-,-,-,-,-,-,-,-
batch03_contract_039_obf.sol,-,-,-,-,-,-,-,-,-
batch03_contract_041_obf.sol,-,-,-,-,-,-,-,-,-
batch03_contract_053_obf.sol,-,-,-,-,-,-,-,-,-
batch03_contract_058_obf.sol,-,-,-,-,-,-,-,-,-
batch03_contract_059_obf.sol,-,-,-,-,-,-,-,-,-
batch03_contract_063_obf.sol,-,-,-,-,-,-,-,-,-
batch03_contract_067_obf.sol,-,-,-,-,-,-,-,-,-
batch03_contract_069_obf.sol,-,-,-,-,-,-,-,-,-
batch03_contract_070_obf.sol,-,-,-,-,-,-,-,-,-
batch03_contract_071_obf.sol,-,-,-,-,-,-,-,-,-
batch03_contract_074_obf.sol,-,-,-,-,-,-,-,-,-
batch03_contract_075_obf.sol,-,-,-,-,-,-,-,-,-
batch03_contract_076_obf.sol,-,-,-,-,-,-,-,-,-
batch03_contract_078_obf.sol,-,-,-,-,-,-,-,-,-
batch03_contract_080_obf.sol,-,-,-,-,-,-,-,-,-
batch03_contract_081_obf.sol,"Mythril, Osiris, Slither",-,"Mythril, Osiris",-,-,-,"Mythril, Osiris",-,-
batch03_contract_085_obf.sol,-,-,-,-,-,-,-,-,-
