Contract,Reentrancy,Integer,Access,TOD,DoS,Delegatecall,Unchecked Call,Timestamp,Frozen Ether
contracts/batch_04/original/batch04_contract_001.sol,"Osiris, Slither","Mythril, Osiris, Oyente",-,Mythril,"Osiris, Oyente",-,-,"Mythril, Slither",-
contracts/batch_04/original/batch04_contract_002.sol,-,-,-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_003.sol,Slither,"Osiris, Oyente",-,-,-,-,-,"Mythril, Slither",-
contracts/batch_04/original/batch04_contract_004.sol,Slither,"Osiris, Oyente",-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_005.sol,"Mythril, Slither","Osiris, Oyente",-,-,-,-,-,"Oyente, Slither",Slither
contracts/batch_04/original/batch04_contract_006.sol,Mythril,Oyente,-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_007.sol,-,-,-,-,-,-,-,Slither,-
contracts/batch_04/original/batch04_contract_008.sol,"Mythril, Slither",-,Mythril,Mythril,-,-,-,-,-
contracts/batch_04/original/batch04_contract_009.sol,-,"Osiris, Oyente",-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_010.sol,Slither,Oyente,-,-,-,-,-,"Mythril, Slither",-
contracts/batch_04/original/batch04_contract_011.sol,Slither,Oyente,-,-,-,-,-,"Mythril, Slither",-
contracts/batch_04/original/batch04_contract_012.sol,"Mythril, Slither",Oyente,-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_013.sol,Slither,Oyente,-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_014.sol,Slither,Oyente,Mythril,Mythril,-,-,-,-,-
contracts/batch_04/original/batch04_contract_015.sol,-,-,Mythril,-,-,-,-,-,Slither
contracts/batch_04/original/batch04_contract_016.sol,"Mythril, Slither",Osiris,-,Mythril,-,-,-,"Mythril, Oyente",-
contracts/batch_04/original/batch04_contract_017.sol,"Mythril, Slither",-,Mythril,-,-,-,-,"Mythril, Slither",-
contracts/batch_04/original/batch04_contract_018.sol,Mythril,"Mythril, Osiris, Oyente",-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_019.sol,Mythril,"Osiris, Oyente",-,-,-,-,"Mythril, Slither",-,-
contracts/batch_04/original/batch04_contract_020.sol,Mythril,"Osiris, Oyente",-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_021.sol,Slither,"Osiris, Oyente",-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_022.sol,"Mythril, Slither",Oyente,-,-,-,-,-,"Mythril, Slither",Slither
